"ht","","N","P","K","Humiditty","Ph","EC","Temp","Lattitude","Longtitude"
"6:28:45","6:28:45 AM","0","-10","10","100","255","260","-260","0","0"
"19:52:07","7:52:06 PM","1","2","3"
"23:33:29","23:33:28","0","0","0","0","0","0","0","0","0"
"23:43:29","23:43:29","0","0","0","0","0","0","0","0","0"
"11:44:19 PM","23:44:18","0","0","0","0","0","0","0","0","0"
"6:25:10 PM","18:25:09","-1","-1","-1","0.0-10","0.0-10","-1","0.0-10","0","0"
"12:25:18 AM","0:25:18","0","0","0","0","0","0","0","0","0"
"12:51:34 AM","0:51:34","0","0","0","0","0","0","0","0","0"
"1:07:17 AM","1:07:17","0","0","0","0","0","0","0","0","0"
"1:08:42 AM","1:08:41","0","0","0","0","0","0","0","0","0"
"6/7/2025","21:59:08","0","0","0","0","0","0","0","0","0"
"6/7/2025","21:59:25","0","0","0","0","0","0","0","0","0"
"6/15/2025","1:16:38 AM"
"6/20/2025","2:44:43","0","0","0","0","0","0","0","0","0"
"6/24/2025","11:54:43","0","0","0","0","0","0","0","0","0"
"6/24/2025","11:55:15","0","0","0","0","0","0","0","0","0"
"6/24/2025","20:52:18","0","0","0","0","0","0","0","0","0"
"6/24/2025","22:11:40","0","0","0","0","3","0","23.89","0","0"
"6/25/2025","0:38:15","79","230","223","24.06","7.2","567","27.8","10.84","106.76"
"6/25/2025","1:39:33","71","221","217","21.6","7.2","567","28.8","10.84","106.76"
"6/25/2025","1:43:13","0","0","0","0","0","0","0","0","0"
"6/26/2025","12:45:05 PM","261","568","749","46.3","7.3","1159","28.1","10.87","106.8"
"7/15/2025","2:16:50 PM","","3"
"7/27/2025","10:34:31 PM"
